experiment,feature_set,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
combined_strict_no_tess,mfcc,extra_trees,SAVEE,105,0.29523809523809524,0.1388326107216662,0.20285031229558967,0.11154168412232927,0.19444444444444445
combined_strict_no_tess,mfcc,rbf_svm,CREMA-D,1716,0.4976689976689977,0.4977019269496768,0.49697240546136745,0.5048995460113689,0.501294027530379
combined_strict_no_tess,mfcc,rbf_svm,RAVDESS,132,0.3333333333333333,0.2567309506188963,0.2800701279478868,0.3356207954799504,0.3055555555555555
combined_strict_no_tess,mfcc,rbf_svm,SAVEE,105,0.21904761904761905,0.17381104603200792,0.21794641384024324,0.21395184760560895,0.17777777777777778
combined_strict_no_tess,full,dummy_most_frequent,CREMA-D,1716,0.17074592074592074,0.04861456777833084,0.049804434821856425,0.028457653457653456,0.16666666666666666
combined_strict_no_tess,full,dummy_most_frequent,RAVDESS,132,0.18181818181818182,0.05128205128205129,0.055944055944055944,0.030303030303030304,0.16666666666666666
combined_strict_no_tess,full,dummy_most_frequent,SAVEE,105,0.14285714285714285,0.041666666666666664,0.03571428571428571,0.023809523809523808,0.16666666666666666
combined_strict_no_tess,full,logistic_regression,CREMA-D,1716,0.47027972027972026,0.4705052896666999,0.4703255705016865,0.4788856042116048,0.4734169125545599
combined_strict_no_tess,full,logistic_regression,RAVDESS,132,0.3560606060606061,0.3036783533838581,0.3312854764187544,0.313092408680644,0.3263888888888889
combined_strict_no_tess,full,logistic_regression,SAVEE,105,0.37142857142857144,0.2331140826892951,0.28062015168461946,0.23330745341614903,0.27777777777777773
combined_strict_no_tess,full,linear_svm,CREMA-D,1716,0.47202797202797203,0.4709783567208727,0.47094791246035006,0.4790663728831037,0.4753137620167793
combined_strict_no_tess,full,linear_svm,RAVDESS,132,0.3560606060606061,0.3000215734769511,0.3272962619748557,0.3142135642135642,0.3263888888888889
combined_strict_no_tess,full,linear_svm,SAVEE,105,0.3333333333333333,0.1818975468975469,0.23591218305504022,0.18524743230625584,0.2333333333333333
combined_strict_no_tess,full,random_forest,CREMA-D,1716,0.49242424242424243,0.4826152808659943,0.4830178999965018,0.5088827274342321,0.4954131143231398
combined_strict_no_tess,full,random_forest,RAVDESS,132,0.3181818181818182,0.273607449461108,0.28449483997155844,0.5447188309285979,0.2986111111111111
combined_strict_no_tess,full,random_forest,SAVEE,105,0.34285714285714286,0.22154922612588515,0.27895314001884775,0.2005543408179856,0.26666666666666666
combined_strict_no_tess,full,extra_trees,CREMA-D,1716,0.4796037296037296,0.46112826308887794,0.46127952089418006,0.4933946414008618,0.48280371120750215
combined_strict_no_tess,full,extra_trees,RAVDESS,132,0.25757575757575757,0.182968347720733,0.1996018338771633,0.3799502224571605,0.23611111111111108
combined_strict_no_tess,full,extra_trees,SAVEE,105,0.3333333333333333,0.18892602495543673,0.24635217723453018,0.29892316999395036,0.24444444444444446
combined_strict_no_tess,full,rbf_svm,CREMA-D,1716,0.5005827505827506,0.5011463711365219,0.5007796626475332,0.5092207931404652,0.5038526213689044
combined_strict_no_tess,full,rbf_svm,RAVDESS,132,0.3409090909090909,0.2967030473157924,0.3096900376312141,0.5836301044634378,0.3194444444444445
combined_strict_no_tess,full,rbf_svm,SAVEE,105,0.3047619047619048,0.23600107609395535,0.27791688875280207,0.26478070175438595,0.25555555555555554
single_CREMA-D,mfcc,dummy_most_frequent,CREMA-D,1117,0.1700984780662489,0.04845702626880898,0.049454798519643905,0.028349746344374815,0.16666666666666666
single_CREMA-D,mfcc,logistic_regression,CREMA-D,1117,0.5031333930170099,0.5002903268382887,0.5013943385916396,0.4993828170315903,0.5027361388406616
single_CREMA-D,mfcc,linear_svm,CREMA-D,1117,0.5058191584601611,0.5001768831957762,0.5011427901745772,0.4996159208659208,0.5055130196930994
single_CREMA-D,mfcc,random_forest,CREMA-D,1117,0.4986571172784244,0.48237491151208717,0.4829254594045192,0.49018904931848045,0.4986821114392637
single_CREMA-D,mfcc,extra_trees,CREMA-D,1117,0.4923903312444047,0.47301841967719227,0.4726494990698894,0.49176629343769257,0.49378684320411415
single_CREMA-D,mfcc,rbf_svm,CREMA-D,1117,0.5461056401074306,0.5412620488408528,0.542279623504326,0.5411045805666972,0.5452434969156099
single_CREMA-D,full,dummy_most_frequent,CREMA-D,1117,0.1700984780662489,0.04845702626880898,0.049454798519643905,0.028349746344374815,0.16666666666666666
single_CREMA-D,full,logistic_regression,CREMA-D,1117,0.5183527305282005,0.5146433140991354,0.5154367595964272,0.5131831815036656,0.5180062504895523
single_CREMA-D,full,linear_svm,CREMA-D,1117,0.5210384959713519,0.5166685373194085,0.5169909627540741,0.5150547528613972,0.5209376185138913
single_CREMA-D,full,random_forest,CREMA-D,1117,0.5013428827215757,0.48852737597249574,0.48901845878027883,0.5043107744200722,0.5017128550345124
single_CREMA-D,full,extra_trees,CREMA-D,1117,0.4941808415398389,0.47615898830792863,0.47555125649666646,0.49392673926185343,0.4962539607941255
single_CREMA-D,full,rbf_svm,CREMA-D,1117,0.5604297224709042,0.556811420176991,0.557340447940866,0.5578546203420678,0.5593366265050735
single_RAVDESS,mfcc,dummy_most_frequent,RAVDESS,159,0.18238993710691823,0.051418439716312055,0.056269235915964146,0.03039832285115304,0.16666666666666666
single_RAVDESS,mfcc,logistic_regression,RAVDESS,159,0.5723270440251572,0.5693800500223337,0.5691867932858962,0.6092338217338217,0.5599343185550082
single_RAVDESS,mfcc,linear_svm,RAVDESS,159,0.5534591194968553,0.5533963112910482,0.5548052521240208,0.5624603174603174,0.5488505747126436
single_RAVDESS,mfcc,random_forest,RAVDESS,159,0.5471698113207547,0.5341552377850018,0.5426185201756205,0.6184122915996398,0.5246305418719212
single_RAVDESS,mfcc,extra_trees,RAVDESS,159,0.5723270440251572,0.5414072477650064,0.5610368623340322,0.603059774099661,0.5414614121510674
single_RAVDESS,mfcc,rbf_svm,RAVDESS,159,0.6289308176100629,0.628161294573851,0.6299976759323358,0.6531514272893584,0.617816091954023
single_RAVDESS,full,dummy_most_frequent,RAVDESS,159,0.18238993710691823,0.051418439716312055,0.056269235915964146,0.03039832285115304,0.16666666666666666
single_RAVDESS,full,logistic_regression,RAVDESS,159,0.5849056603773585,0.5813181839278331,0.583329333354987,0.5926723276723277,0.5775862068965516
single_RAVDESS,full,linear_svm,RAVDESS,159,0.5031446540880503,0.49505703316078886,0.502452350754574,0.5069257054673721,0.49055829228243025
single_RAVDESS,full,random_forest,RAVDESS,159,0.5723270440251572,0.5691210116166833,0.56998148441071,0.5795526695526695,0.5660919540229884
single_RAVDESS,full,extra_trees,RAVDESS,159,0.6037735849056604,0.6009126170599639,0.6001783684643083,0.624186245068598,0.5948275862068965
single_RAVDESS,full,rbf_svm,RAVDESS,159,0.6855345911949685,0.6779980431232367,0.6860551610978258,0.6888368758434548,0.6756978653530377
single_SAVEE,mfcc,dummy_most_frequent,SAVEE,63,0.2857142857142857,0.07407407407407407,0.12698412698412698,0.047619047619047616,0.16666666666666666
single_SAVEE,mfcc,logistic_regression,SAVEE,63,0.6507936507936508,0.6181595826736491,0.655901491031195,0.6403769841269842,0.6203703703703703
single_SAVEE,mfcc,linear_svm,SAVEE,63,0.7142857142857143,0.6806444859076439,0.7069616829015326,0.7095816464237515,0.6851851851851851
single_SAVEE,mfcc,random_forest,SAVEE,63,0.5873015873015873,0.5118131782218468,0.5395373460388939,0.6097582972582972,0.5185185185185185
single_SAVEE,mfcc,extra_trees,SAVEE,63,0.6190476190476191,0.5623068403331561,0.5848344345712767,0.7141203703703703,0.5555555555555555
single_SAVEE,mfcc,rbf_svm,SAVEE,63,0.6666666666666666,0.630002894708777,0.6503920915685621,0.6787494912494912,0.6203703703703703
single_SAVEE,full,dummy_most_frequent,SAVEE,63,0.2857142857142857,0.07407407407407407,0.12698412698412698,0.047619047619047616,0.16666666666666666
single_SAVEE,full,logistic_regression,SAVEE,63,0.7142857142857143,0.6786433492315845,0.7129684306154894,0.6943067897015265,0.6759259259259259
single_SAVEE,full,linear_svm,SAVEE,63,0.7142857142857143,0.6884563134563134,0.7136575350861064,0.7191507809928863,0.6851851851851851
single_SAVEE,full,random_forest,SAVEE,63,0.5873015873015873,0.5212075887075888,0.5496065046065045,0.6168981481481481,0.5185185185185185
single_SAVEE,full,extra_trees,SAVEE,63,0.5873015873015873,0.5212075887075888,0.5496065046065045,0.6168981481481481,0.5185185185185185
single_SAVEE,full,rbf_svm,SAVEE,63,0.6984126984126984,0.6600242121139955,0.6871636103834246,0.6962121212121213,0.6574074074074073
single_TESS,mfcc,dummy_most_frequent,TESS,360,0.16666666666666666,0.047619047619047616,0.047619047619047616,0.027777777777777776,0.16666666666666666
single_TESS,mfcc,logistic_regression,TESS,360,1.0,1.0,1.0,1.0,1.0
single_TESS,mfcc,linear_svm,TESS,360,1.0,1.0,1.0,1.0,1.0
single_TESS,mfcc,random_forest,TESS,360,0.9944444444444445,0.9944429008057795,0.9944429008057796,0.9946236559139785,0.9944444444444445
single_TESS,mfcc,extra_trees,TESS,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222
single_TESS,mfcc,rbf_svm,TESS,360,1.0,1.0,1.0,1.0,1.0
single_TESS,full,dummy_most_frequent,TESS,360,0.16666666666666666,0.047619047619047616,0.047619047619047616,0.027777777777777776,0.16666666666666666
single_TESS,full,logistic_regression,TESS,360,1.0,1.0,1.0,1.0,1.0
single_TESS,full,linear_svm,TESS,360,1.0,1.0,1.0,1.0,1.0
single_TESS,full,random_forest,TESS,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222
single_TESS,full,extra_trees,TESS,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222
single_TESS,full,rbf_svm,TESS,360,1.0,1.0,1.0,1.0,1.0
