experiment,feature_set,model,class,precision,recall,f1-score,support
combined_strict_no_tess,mfcc,extra_trees,weighted avg,0.4515123669162929,0.452636968766001,0.4334822566236992,1953.0
combined_strict_no_tess,mfcc,rbf_svm,neutral,0.4481012658227848,0.6040955631399317,0.5145348837209303,293.0
combined_strict_no_tess,mfcc,rbf_svm,happy,0.4527687296416938,0.4186746987951807,0.4350547730829421,332.0
combined_strict_no_tess,mfcc,rbf_svm,sad,0.4576271186440678,0.4879518072289157,0.47230320699708456,332.0
combined_strict_no_tess,mfcc,rbf_svm,angry,0.6450511945392492,0.5692771084337349,0.6048,332.0
combined_strict_no_tess,mfcc,rbf_svm,fear,0.39233038348082594,0.4006024096385542,0.39642324888226527,332.0
combined_strict_no_tess,mfcc,rbf_svm,disgust,0.45660377358490567,0.3644578313253012,0.4053601340033501,332.0
combined_strict_no_tess,mfcc,rbf_svm,accuracy,0.4715821812596006,0.4715821812596006,0.4715821812596006,0.4715821812596006
combined_strict_no_tess,mfcc,rbf_svm,macro avg,0.4754137442855879,0.4741765697602698,0.4714127077810954,1953.0
combined_strict_no_tess,mfcc,rbf_svm,weighted avg,0.47595915476180356,0.4715821812596006,0.47055158906033057,1953.0
combined_strict_no_tess,full,dummy_most_frequent,neutral,0.0,0.0,0.0,293.0
combined_strict_no_tess,full,dummy_most_frequent,happy,0.16999487967229904,1.0,0.29059080962800876,332.0
combined_strict_no_tess,full,dummy_most_frequent,sad,0.0,0.0,0.0,332.0
combined_strict_no_tess,full,dummy_most_frequent,angry,0.0,0.0,0.0,332.0
combined_strict_no_tess,full,dummy_most_frequent,fear,0.0,0.0,0.0,332.0
combined_strict_no_tess,full,dummy_most_frequent,disgust,0.0,0.0,0.0,332.0
combined_strict_no_tess,full,dummy_most_frequent,accuracy,0.16999487967229904,0.16999487967229904,0.16999487967229904,0.16999487967229904
combined_strict_no_tess,full,dummy_most_frequent,macro avg,0.028332479945383172,0.16666666666666666,0.048431801604668125,1953.0
combined_strict_no_tess,full,dummy_most_frequent,weighted avg,0.028898259114799426,0.16999487967229904,0.0493989497165893,1953.0
combined_strict_no_tess,full,logistic_regression,neutral,0.3977777777777778,0.6109215017064846,0.48183041722745623,293.0
combined_strict_no_tess,full,logistic_regression,happy,0.4208860759493671,0.4006024096385542,0.4104938271604938,332.0
combined_strict_no_tess,full,logistic_regression,sad,0.44047619047619047,0.4457831325301205,0.4431137724550898,332.0
combined_strict_no_tess,full,logistic_regression,angry,0.6158940397350994,0.5602409638554217,0.5867507886435331,332.0
combined_strict_no_tess,full,logistic_regression,fear,0.4131147540983607,0.3795180722891566,0.3956043956043956,332.0
combined_strict_no_tess,full,logistic_regression,disgust,0.4959016393442623,0.3644578313253012,0.4201388888888889,332.0
combined_strict_no_tess,full,logistic_regression,accuracy,0.4572452636968766,0.4572452636968766,0.4572452636968766,0.4572452636968766
combined_strict_no_tess,full,logistic_regression,macro avg,0.46400841289684297,0.46025398522417316,0.4563220149966429,1953.0
combined_strict_no_tess,full,logistic_regression,weighted avg,0.46533099086389035,0.4572452636968766,0.455812630620298,1953.0
combined_strict_no_tess,full,linear_svm,neutral,0.3875802997858672,0.6177474402730375,0.4763157894736842,293.0
combined_strict_no_tess,full,linear_svm,happy,0.4421052631578947,0.3795180722891566,0.40842787682333875,332.0
combined_strict_no_tess,full,linear_svm,sad,0.4418604651162791,0.4578313253012048,0.44970414201183434,332.0
combined_strict_no_tess,full,linear_svm,angry,0.6063492063492063,0.5753012048192772,0.5904173106646059,332.0
combined_strict_no_tess,full,linear_svm,fear,0.4305555555555556,0.37349397590361444,0.4,332.0
combined_strict_no_tess,full,linear_svm,disgust,0.4645669291338583,0.35542168674698793,0.40273037542662116,332.0
combined_strict_no_tess,full,linear_svm,accuracy,0.4567332309267793,0.4567332309267793,0.4567332309267793,0.4567332309267793
combined_strict_no_tess,full,linear_svm,macro avg,0.46216961984977684,0.4598856175555464,0.45459924906668076,1953.0
combined_strict_no_tess,full,linear_svm,weighted avg,0.4636591147204848,0.4567332309267793,0.45416558543336116,1953.0
